Hora;G solar
0;-0,009057582
1;-0,009057582
2;-0,009057582
3;-0,009057582
4;-0,009057582
5;-0,009057582
6;-0,009057582
7;1,89953526
8;1,963791282
9;1,815340973
10;3,264597752
11;8,929238564
12;9,267338637
13;9,203933056
14;9,140527484
15;9,034410553
16;8,785985432
17;8,424167332
18;7,376321703
19;3,707208351
20;0,15922705
21;-0,009057582
22;-0,009057582
23;-0,009057582
0;-0,009057582
1;-0,009057582
2;-0,009057582
3;-0,009057582
4;-0,009057582
5;-0,009057582
6;-0,009057582
7;2,806490113
8;7,489147718
9;8,676466712
10;9,213665953
11;9,241258245
12;9,201854187
13;9,137598162
14;9,096587705
15;8,998408282
16;8,796474283
17;8,486155495
18;7,4555078
19;3,763715852
20;0,165898337
21;-0,009057582
22;-0,009057582
23;-0,009057582
0;-0,009057582
1;-0,009057582
2;-0,009057582
3;-0,009057582
4;-0,009057582
5;-0,009057582
6;-0,009057582
7;1,167772563
8;2,068490801
9;3,139015027
10;7,835941248
11;9,229068506
12;9,270173461
13;9,269417506
14;9,21026417
15;9,11199025
16;8,975635191
17;8,501369053
18;7,443034572
19;3,707019362
20;0,186724848
21;-0,009057582
22;-0,009057582
23;-0,009057582
0;-0,009057582
1;-0,009057582
2;-0,009057582
3;-0,009057582
4;-0,009057582
5;-0,009057582
6;-0,009057582
7;0,292747284
8;0,46598341
9;0,67467374
10;1,093405666
11;1,720185364
12;5,069813994
13;9,251747097
14;9,263936845
15;9,166135396
16;9,031953705
17;8,562412273
18;7,498124662
19;3,750581166
20;0,193074855
21;-0,009057582
22;-0,009057582
23;-0,009057582
0;-0,009057582
1;-0,009057582
2;-0,009057582
3;-0,009057582
4;-0,009057582
5;-0,009057582
6;-0,009057582
7;2,143235674
8;2,377203189
9;3,19646747
10;6,476831888
11;9,272063343
12;9,221697963
13;8,755936293
14;8,818680409
15;8,761038977
16;8,530189769
17;8,11195866
18;7,047765543
19;3,492895618
20;0,185543671
21;-0,009057582
22;-0,009057582
23;-0,009057582
0;-0,009057582
1;-0,009057582
2;-0,009057582
3;-0,009057582
4;-0,009057582
5;-0,009057582
6;-0,009057582
7;2,623265956
8;7,615486396
9;8,815562102
10;9,283969607
11;9,415410969
12;9,372416132
13;9,339154183
14;9,285576005
15;9,216878758
16;9,01248791
17;8,691774765
18;7,653662033
19;3,874179514
20;0,168166197
21;-0,009057582
22;-0,009057582
23;-0,009057582
0;-0,009057582
1;-0,009057582
2;-0,009057582
3;-0,009057582
4;-0,009057582
5;-0,009057582
6;-0,009057582
7;2,454593898
8;7,643834642
9;8,85855694
10;9,285009037
11;9,42495488
12;9,471540495
13;9,409552326
14;9,321767267
15;9,246171947
16;9,065026661
17;8,751400574
18;7,755810209
19;3,92577332
20;0,183682136
21;-0,009057582
22;-0,009057582
23;-0,009057582
0;-0,009057582
1;-0,009057582
2;-0,009057582
3;-0,009057582
4;-0,009057582
5;-0,009057582
6;-0,009057582
7;2,38268385
8;7,488864236
9;8,758109658
10;9,349170564
11;9,403504705
12;9,380070151
13;9,348792591
14;9,271212891
15;9,186735126
16;8,992360656
17;8,670324593
18;7,702987979
19;3,827215921
20;0,174931978
21;-0,009057582
22;-0,009057582
23;-0,009057582
0;-0,009057582
1;-0,009057582
2;-0,009057582
3;-0,009057582
4;-0,009057582
5;-0,009057582
6;-0,009057582
7;2,323625006
8;7,613879996
9;8,8624312
10;9,275465127
11;9,402937737
12;9,468705662
13;9,398213031
14;9,288505327
15;9,213949437
16;9,055577243
17;8,757826176
18;7,756377174
19;3,894023286
20;0,166436954
21;-0,009057582
22;-0,009057582
23;-0,009057582
0;-0,009057582
1;-0,009057582
2;-0,009057582
3;-0,009057582
4;-0,009057582
5;-0,009057582
6;-0,009057582
7;1,800599885
8;7,2471482
9;8,659174283
10;9,211020115
11;9,283969607
12;9,351343931
13;9,293135536
14;9,218957627
15;9,145724661
16;8,945491558
17;8,610509796
18;7,633629273
19;3,752093072
20;0,191090477
21;-0,009057582
22;-0,009057582
23;-0,009057582
0;-0,009057582
1;-0,009057582
2;-0,009057582
3;-0,009057582
4;-0,009057582
5;-0,009057582
6;-0,009057582
7;1,763936156
8;6,988801193
9;8,582067057
10;9,224154804
11;9,411914679
12;9,32668096
13;9,328948815
14;9,289166784
15;9,098666574
16;8,53340257
17;8,644244208
18;7,410245103
19;3,556206699
20;0,202666011
21;-0,009057582
22;-0,009057582
23;-0,009057582
0;-0,009057582
1;-0,009057582
2;-0,009057582
3;-0,009057582
4;-0,009057582
5;-0,009057582
6;-0,009057582
7;0,615784985
8;1,144810484
9;2,039386602
10;6,506975522
11;9,392070912
12;9,462091073
13;9,404638633
14;9,327909385
15;9,267149641
16;9,090445587
17;8,706893829
18;7,831122047
19;3,851217435
20;0,158017525
21;-0,009057582
22;-0,009057582
23;-0,009057582
0;-0,009057582
1;-0,009057582
2;-0,009057582
3;-0,009057582
4;-0,009057582
5;-0,009057582
6;-0,009057582
7;1,711586396
8;5,878589424
9;8,595012756
10;9,330649711
11;9,379219707
12;9,33168915
13;9,274425697
14;9,225855701
15;9,131456044
16;8,967886671
17;8,655583506
18;7,044458247
19;3,132778412
20;0,196117566
21;-0,009057582
22;-0,009057582
23;-0,009057582
0;-0,009057582
1;-0,009057582
2;-0,009057582
3;-0,009057582
4;-0,009057582
5;-0,009057582
6;-0,009057582
7;1,571262584
8;6,471256734
9;8,24992012
10;8,974595756
11;9,121250676
12;9,196468023
13;9,136086261
14;9,058506561
15;8,956074902
16;8,757353705
17;8,308411998
18;7,144811035
19;3,278015922
20;0,19493639
21;-0,009057582
22;-0,009057582
23;-0,009057582
0;-0,009057582
1;-0,009057582
2;-0,009057582
3;-0,009057582
4;-0,009057582
5;-0,009057582
6;-0,009057582
7;1,135644552
8;5,229131131
9;7,274645997
10;8,414150952
11;8,932734848
12;9,073814617
13;8,981777311
14;8,914591971
15;8,85194235
16;8,549277587
17;7,787654738
18;5,979981648
19;2,236217917
20;0,177681758
21;-0,009057582
22;-0,009057582
23;-0,009057582
0;-0,009057582
1;-0,009057582
2;-0,009057582
3;-0,009057582
4;-0,009057582
5;-0,009057582
6;-0,009057582
7;1,233918467
8;5,610415027
9;7,617470774
10;8,708594724
11;8,989809314
12;8,970438013
13;8,910339734
14;8,857234022
15;8,760566507
16;8,603800711
17;8,057341042
18;6,784788323
19;3,055198716
20;0,190542412
21;-0,009057582
22;-0,009057582
23;-0,009057582
0;-0,009057582
1;-0,009057582
2;-0,009057582
3;-0,009057582
4;-0,009057582
5;-0,009057582
6;-0,009057582
7;1,141881166
8;4,771023492
9;3,697002982
10;7,538851641
11;8,451381647
12;8,70283058
13;7,708846617
14;6,886653017
15;8,095800161
16;8,304159762
17;4,274362239
18;3,848477105
19;1,873927346
20;0,258984524
21;-0,009057582
22;-0,009057582
